,company_name,product_line,image_link,colour,hexa_code,sleeve_type_value,sleeve_type_confidance,pattern_type_value,pattern_type_confidance,pattern_value,pattern_confidance,sleeve_value,sleeve_confidance,neck_value,neck_confidance,tops_length_value,tops_length_confidance,professional_look_value,professional_look_confidance
0,ebay,women_tops,https://i.ebayimg.com/images/g/3TIAAOSwXeJYMBX7/s-l600.jpg,,,bishop sleeves,0.6975,tie and dye,0.606673,printed,0.99999,long sleeve,0.990244,,0.377398,regular,0.500869,no,0.974751
1,ebay,women_tops,https://i.ebayimg.com/images/g/2jIAAOSwlndZIqT4/s-l600.jpg,,,no sleeves,0.981702,solid,0.984633,solid,0.997489,no sleeves,0.999661,shoulder straps,0.940088,regular,0.891597,no,0.97361
2,ebay,women_tops,https://i.ebayimg.com/images/g/YiUAAOSw1BFaRi7Q/s-l600.jpg,,,,0.485158,solid,0.220911,solid,0.677497,long sleeve,0.989672,,0.549134,regular,0.940197,no,0.589401
3,ebay,women_tops,https://i.ebayimg.com/images/g/d9oAAOSw8lpZIqT1/s-l600.jpg,,,bishop sleeves,0.990933,abstract,0.461365,printed,0.986679,long sleeve,0.999285,,0.433254,longline,0.839891,no,0.970398
4,ebay,women_tops,https://i.ebayimg.com/images/g/P3kAAOSwhvFZIqUB/s-l600.jpg,,,no sleeves,0.992307,floral,0.864992,printed,0.97642,no sleeves,0.999788,,0.266508,regular,0.901577,no,0.889891
5,ebay,women_tops,https://i.ebayimg.com/images/g/02YAAOSwiDFYMBX2/s-l600.jpg,,,roll-up sleeves,0.939688,abstract,0.776375,printed,0.451097,short sleeve,0.999967,,0.433637,regular,0.473341,no,0.660982
6,ebay,women_tops,https://i.ebayimg.com/images/g/oMEAAOSw0hlZIqVD/s-l600.jpg,,,no sleeves,0.973791,solid,0.474479,solid,0.997262,no sleeves,0.999805,shoulder straps,0.885195,regular,0.916328,no,0.970015
7,ebay,women_tops,https://i.ebayimg.com/images/g/eA4AAOSw44BYMBXd/s-l600.jpg,,,no sleeves,0.998793,,0.316612,printed,0.532582,no sleeves,0.997315,,0.329583,longline,0.863377,no,0.807815
8,ebay,women_tops,https://i.ebayimg.com/images/g/sOEAAOSwxixaRi7R/s-l600.jpg,,,roll-up sleeves,0.958253,ethnic motifs,0.846748,printed,0.921365,long sleeve,0.983731,,0.267538,regular,0.872028,no,0.68353
9,ebay,women_tops,https://i.ebayimg.com/images/g/0FkAAOSwKytZIqRj/s-l600.jpg,,,no sleeves,0.998816,floral,0.989388,printed,0.985995,no sleeves,0.988157,round neck,0.436029,regular,0.705011,no,0.945513
10,ebay,women_tops,https://i.ebayimg.com/images/g/lAAAAOSwGwlaRi7Z/s-l600.jpg,,,roll-up sleeves,0.534262,tie and dye,0.721356,printed,0.897391,short sleeve,0.995072,round neck,0.499948,regular,0.615702,no,0.713662
11,ebay,women_tops,https://i.ebayimg.com/images/g/m3YAAOSwal5YMBXV/s-l600.jpg,,,cuffed sleeves,0.983358,checked,0.474002,checked,0.837721,long sleeve,0.993925,shirt collar,0.691243,regular,0.643421,no,0.7054
12,ebay,women_tops,https://i.ebayimg.com/images/g/sZIAAOSw4GVYMCbr/s-l600.jpg,,,puff sleeve,0.503132,solid,0.448714,solid,0.982148,short sleeve,0.997844,,0.226104,longline,0.908348,no,0.5203
13,ebay,women_tops,https://i.ebayimg.com/images/g/6-oAAOSw6VRaRiVU/s-l600.jpg,,,,0.425809,floral,0.986591,printed,0.98529,three-quarter sleeve,0.635344,,0.591098,longline,0.815449,no,0.81148
14,ebay,women_tops,https://i.ebayimg.com/images/g/fL8AAOSw-3FZIqTs/s-l600.jpg,,,bishop sleeves,0.583236,animal print,0.770888,printed,0.806794,long sleeve,0.989752,,0.395824,longline,0.864842,no,0.904941
15,ebay,women_tops,https://i.ebayimg.com/images/g/i50AAOSwq4VaRi7V/s-l600.jpg,,,no sleeves,0.818309,self design,0.411643,self design,0.600062,no sleeves,0.999489,,0.589252,regular,0.851754,no,0.92353
16,ebay,women_tops,https://i.ebayimg.com/images/g/LIcAAOSwVtZaRi7m/s-l600.jpg,,,cuffed sleeves,0.814675,checked,0.955001,checked,0.998419,long sleeve,0.988307,,0.48449,longline,0.95235,no,0.757085
17,ebay,women_tops,https://i.ebayimg.com/images/g/Ib8AAOSw3ZtaRi7U/s-l600.jpg,,,no sleeves,0.959744,embellishments,0.57572,embellishments,0.970171,no sleeves,0.996951,shoulder straps,0.736638,regular,0.560798,no,0.932215
18,ebay,women_tops,https://i.ebayimg.com/images/g/w7gAAOSwQS1aRi7U/s-l600.jpg,,,no sleeves,0.403538,solid,0.419839,solid,0.913113,no sleeves,0.999991,,0.490692,regular,0.598612,no,0.917669
19,ebay,women_tops,https://i.ebayimg.com/images/g/~NkAAOSwi7RZIqTv/s-l600.jpg,,,no sleeves,0.995798,floral,0.979782,printed,0.932924,no sleeves,0.999908,,0.191063,regular,0.779292,no,0.904576
20,ebay,women_tops,https://i.ebayimg.com/images/g/-hIAAOSwfpVZIqUY/s-l600.jpg,,,bishop sleeves,0.926373,,0.547201,printed,0.764475,long sleeve,0.995808,,0.387741,regular,0.584473,no,0.874079
21,ebay,women_tops,https://i.ebayimg.com/images/g/iDAAAOSwEZdaRi7X/s-l600.jpg,,,roll-up sleeves,0.955631,solid,0.418295,solid,0.885566,three-quarter sleeve,0.957805,v-neck,0.501205,regular,0.79617,no,0.761026
22,ebay,women_tops,https://i.ebayimg.com/images/g/OU4AAOSwz~paRiVK/s-l600.jpg,,,,0.280534,floral,0.974071,printed,0.675061,short sleeve,0.747824,,0.409735,regular,0.756082,no,0.86691
23,ebay,women_tops,https://i.ebayimg.com/images/g/BooAAOSw1cNaRiVK/s-l600.jpg,,,no sleeves,0.988449,solid,0.234831,solid,0.836155,no sleeves,0.998141,,0.300497,longline,0.820821,no,0.770258
24,ebay,women_tops,https://i.ebayimg.com/images/g/r5kAAOSwj85YMBXg/s-l600.jpg,,,bishop sleeves,0.536505,animal print,0.893387,printed,0.528534,short sleeve,0.979122,,0.319246,regular,0.689683,no,0.894998
25,ebay,women_tops,https://i.ebayimg.com/images/g/MmEAAOSwCJxaRiVT/s-l600.jpg,,,cap sleeve,0.561597,floral,0.999562,printed,0.977528,three-quarter sleeve,0.517526,,0.367685,longline,0.84188,no,0.917764
26,ebay,women_tops,https://i.ebayimg.com/images/g/QUkAAOSwux5YMBXY/s-l600.jpg,,,no sleeves,0.999436,solid,0.673052,solid,0.701284,no sleeves,0.999801,high neck,0.870185,regular,0.743631,no,0.804525
27,ebay,women_tops,https://i.ebayimg.com/images/g/TUkAAOSwq1JZIqT0/s-l600.jpg,,,no sleeves,0.989753,solid,0.917247,solid,0.994593,no sleeves,0.99955,shoulder straps,0.825109,regular,0.896261,no,0.971823
28,ebay,women_tops,https://i.ebayimg.com/images/g/-AsAAOSw-K9ZIqTu/s-l600.jpg,,,cuffed sleeves,0.985144,solid,0.843478,solid,0.969155,long sleeve,0.994781,shirt collar,0.749246,regular,0.701655,no,0.533567
29,ebay,women_tops,https://i.ebayimg.com/images/g/s5QAAOSwiONYMCbm/s-l600.jpg,,,cap sleeve,0.96249,solid,0.323277,solid,0.832837,short sleeve,0.990141,,0.209226,longline,0.921829,no,0.742542
30,ebay,women_tops,https://i.ebayimg.com/images/g/lrAAAOSwB09YMBXb/s-l600.jpg,,,regular sleeve,0.534428,solid,0.431925,solid,0.994459,short sleeve,0.99999,shirt collar,0.667253,regular,0.68321,no,0.695604
31,ebay,women_tops,https://i.ebayimg.com/images/g/SxkAAOSwcgNZIqTt/s-l600.jpg,,,cuffed sleeves,0.702004,checked,0.98717,checked,0.999552,long sleeve,0.995448,,0.377303,longline,0.821169,no,0.802392
32,ebay,women_tops,https://i.ebayimg.com/images/g/cSAAAOSwo4pYMBXf/s-l600.jpg,,,,0.436596,polka dots,0.810562,printed,0.962657,short sleeve,0.999896,,0.446977,regular,0.884143,no,0.805505
33,ebay,women_tops,https://i.ebayimg.com/images/g/p8sAAOSwiBJaRiVL/s-l600.jpg,,,roll-up sleeves,0.540347,floral,0.652912,printed,0.998937,short sleeve,0.614434,mandarin collar,0.703056,longline,0.98701,no,0.954266
34,ebay,women_tops,https://i.ebayimg.com/images/g/k10AAOSwlY1ZIqUg/s-l600.jpg,,,bishop sleeves,0.543469,tie and dye,0.933116,printed,0.970068,short sleeve,0.98506,v-neck,0.526765,regular,0.516465,no,0.880543
35,ebay,women_tops,https://i.ebayimg.com/images/g/yOkAAOSweZJaRi7V/s-l600.jpg,,,cap sleeve,0.909094,solid,0.366431,solid,0.80055,short sleeve,0.998903,,0.279343,regular,0.837729,no,0.787017
36,ebay,women_tops,https://i.ebayimg.com/images/g/yXAAAOSwurZZIqVP/s-l600.jpg,,,,0.471831,,0.467705,printed,0.851322,long sleeve,0.997953,,0.308889,regular,0.502852,no,0.858423
37,ebay,women_tops,https://i.ebayimg.com/images/g/Jr8AAOSw5cNYMBXV/s-l600.jpg,,,no sleeves,0.978071,animal print,0.999827,printed,0.942901,no sleeves,0.999761,high neck,0.591238,regular,0.809205,no,0.896702
38,ebay,women_tops,https://i.ebayimg.com/images/g/nWMAAOSw0hlZIqTy/s-l600.jpg,,,bishop sleeves,0.529085,floral,0.984903,printed,0.996105,long sleeve,0.999873,,0.285627,regular,0.852112,no,0.850364
39,ebay,women_tops,https://i.ebayimg.com/images/g/TRsAAOSwWv5aRi7j/s-l600.jpg,,,roll-up sleeves,0.675895,checked,0.506894,checked,0.998214,long sleeve,0.996507,,0.307446,regular,0.687922,no,0.700143
40,ebay,women_tops,https://i.ebayimg.com/images/g/KcoAAOSwcUBYMBXY/s-l600.jpg,,,cap sleeve,0.671391,solid,0.887691,solid,0.993199,short sleeve,0.999545,round neck,0.818307,longline,0.928501,no,0.892337
41,ebay,women_tops,https://i.ebayimg.com/images/g/T1MAAOSwPpZaRiVT/s-l600.jpg,,,,0.472223,solid,0.406307,solid,0.525649,short sleeve,0.67971,,0.271644,longline,0.772718,no,0.689764
42,ebay,women_tops,https://i.ebayimg.com/images/g/IvIAAOSwo4pYMCcK/s-l600.jpg,,,cap sleeve,0.994826,,0.518857,printed,0.996587,short sleeve,0.999943,,0.430753,longline,0.954991,no,0.929812
43,ebay,women_tops,https://i.ebayimg.com/images/g/EasAAOSwFb5aRi7T/s-l600.jpg,,,,0.440888,,0.500236,,0.420548,long sleeve,0.99905,,0.425386,regular,0.735882,no,0.734147
44,ebay,women_tops,https://i.ebayimg.com/images/g/EdkAAOSw6VRaRi7R/s-l600.jpg,,,roll-up sleeves,0.855046,solid,0.658763,solid,0.984334,three-quarter sleeve,0.990428,round neck,0.505725,regular,0.87243,no,0.616226
45,ebay,women_tops,https://i.ebayimg.com/images/g/f1kAAOSwB09YMCbp/s-l600.jpg,,,regular sleeve,0.742743,self design,0.817341,self design,0.993315,three-quarter sleeve,0.734205,,0.272834,regular,0.576733,no,0.796471
46,ebay,women_tops,https://i.ebayimg.com/images/g/4T4AAOSw8UZaRi7R/s-l600.jpg,,,roll-up sleeves,0.974209,solid,0.435545,solid,0.961807,long sleeve,0.976662,,0.30384,regular,0.733301,no,0.515603
47,ebay,women_tops,https://i.ebayimg.com/images/g/-FoAAOSw-K9ZIqTz/s-l600.jpg,,,,0.415204,solid,0.8539,solid,0.85911,long sleeve,0.961122,,0.247358,regular,0.855766,no,0.781358
48,ebay,women_tops,https://i.ebayimg.com/images/g/nWsAAOSwal5YMBXf/s-l600.jpg,,,cuffed sleeves,0.958589,abstract,0.910791,printed,0.98204,long sleeve,0.988904,mandarin collar,0.666642,longline,0.967074,no,0.608293
49,ebay,women_tops,https://i.ebayimg.com/images/g/sfQAAOSwjodaRiVY/s-l600.jpg,,,roll-up sleeves,0.80484,floral,0.946205,printed,0.706103,three-quarter sleeve,0.831747,,0.274337,longline,0.861446,no,0.861159
50,ebay,women_tops,https://i.ebayimg.com/images/g/HEwAAOSwHMJYMBXV/s-l600.jpg,,,flared sleeve,0.987282,solid,0.288568,solid,0.918681,short sleeve,0.986302,,0.318575,regular,0.949579,no,0.77767
51,ebay,women_tops,https://i.ebayimg.com/images/g/D5IAAOSwY~1aRi7V/s-l600.jpg,,,roll-up sleeves,0.749717,solid,0.266928,solid,0.856,long sleeve,0.999445,,0.248537,regular,0.453625,no,0.702389
52,ebay,women_tops,https://i.ebayimg.com/images/g/2C0AAOSwtJZXXpUP/s-l600.jpg,,,no sleeves,0.851288,solid,0.234064,solid,0.97863,no sleeves,0.925286,round neck,0.516136,regular,0.702693,no,0.767987
