,company_name,product_line,image_link,colour,hexa_code,sleeve type_value,sleeve type_confidance,pattern type_value,pattern type_confidance,pattern_value,pattern_confidance,sleeve length_value,sleeve length_confidance,neck_value,neck_confidance,tops length_value,tops length_confidance
0,ebay,women_tops,https://i.ebayimg.com/images/g/3TIAAOSwXeJYMBX7/s-l600.jpg,,,bishop sleeves,0.6975,tie and dye,0.606673,printed,0.99999,long sleeve,0.990244,,0.377398,regular,0.561251
1,ebay,women_tops,https://i.ebayimg.com/images/g/YiUAAOSw1BFaRi7Q/s-l600.jpg,,,,0.485158,solid,0.220911,solid,0.677497,long sleeve,0.989672,,0.549134,regular,0.900429
2,ebay,women_tops,https://i.ebayimg.com/images/g/P3kAAOSwhvFZIqUB/s-l600.jpg,,,no sleeves,0.992307,floral,0.864992,printed,0.97642,no sleeves,0.999788,,0.266508,regular,0.92682
3,ebay,women_tops,https://i.ebayimg.com/images/g/02YAAOSwiDFYMBX2/s-l600.jpg,,,roll-up sleeves,0.939688,abstract,0.776375,printed,0.451097,short sleeve,0.999967,,0.433637,regular,0.695678
4,ebay,women_tops,https://i.ebayimg.com/images/g/eA4AAOSw44BYMBXd/s-l600.jpg,,,no sleeves,0.998793,,0.316612,printed,0.532582,no sleeves,0.997315,,0.329583,regular,0.512157
5,ebay,women_tops,https://i.ebayimg.com/images/g/sOEAAOSwxixaRi7R/s-l600.jpg,,,roll-up sleeves,0.958253,ethnic motifs,0.846748,printed,0.921365,long sleeve,0.983731,,0.267538,regular,0.912821
6,ebay,women_tops,https://i.ebayimg.com/images/g/m3YAAOSwal5YMBXV/s-l600.jpg,,,cuffed sleeves,0.983358,checked,0.474002,checked,0.837721,long sleeve,0.993925,shirt collar,0.691243,regular,0.83842
7,ebay,women_tops,https://i.ebayimg.com/images/g/LIcAAOSwVtZaRi7m/s-l600.jpg,,,cuffed sleeves,0.814675,checked,0.955001,checked,0.998419,long sleeve,0.988307,,0.48449,longline,0.939835
8,ebay,women_tops,https://i.ebayimg.com/images/g/~NkAAOSwi7RZIqTv/s-l600.jpg,,,no sleeves,0.995798,floral,0.979782,printed,0.932924,no sleeves,0.999908,,0.191063,regular,0.692301
9,ebay,women_tops,https://i.ebayimg.com/images/g/iDAAAOSwEZdaRi7X/s-l600.jpg,,,roll-up sleeves,0.955631,solid,0.418295,solid,0.885566,three-quarter sleeve,0.957805,v-neck,0.501205,regular,0.696979
10,ebay,women_tops,https://i.ebayimg.com/images/g/-AsAAOSw-K9ZIqTu/s-l600.jpg,,,cuffed sleeves,0.985144,solid,0.843478,solid,0.969155,long sleeve,0.994781,shirt collar,0.749246,regular,0.826653
11,ebay,women_tops,https://i.ebayimg.com/images/g/lrAAAOSwB09YMBXb/s-l600.jpg,,,regular sleeve,0.534428,solid,0.431925,solid,0.994459,short sleeve,0.99999,shirt collar,0.667253,regular,0.779139
12,ebay,women_tops,https://i.ebayimg.com/images/g/SxkAAOSwcgNZIqTt/s-l600.jpg,,,cuffed sleeves,0.702004,checked,0.98717,checked,0.999552,long sleeve,0.995448,,0.377303,regular,0.57855
13,ebay,women_tops,https://i.ebayimg.com/images/g/cSAAAOSwo4pYMBXf/s-l600.jpg,,,,0.436596,polka dots,0.810562,printed,0.962657,short sleeve,0.999896,,0.446977,regular,0.897789
14,ebay,women_tops,https://i.ebayimg.com/images/g/k10AAOSwlY1ZIqUg/s-l600.jpg,,,bishop sleeves,0.543469,tie and dye,0.933116,printed,0.970068,short sleeve,0.98506,v-neck,0.526765,regular,0.542
15,ebay,women_tops,https://i.ebayimg.com/images/g/nWMAAOSw0hlZIqTy/s-l600.jpg,,,bishop sleeves,0.529085,floral,0.984903,printed,0.996105,long sleeve,0.999873,,0.285627,regular,0.659886
16,ebay,women_tops,https://i.ebayimg.com/images/g/TRsAAOSwWv5aRi7j/s-l600.jpg,,,roll-up sleeves,0.675895,checked,0.506894,checked,0.998214,long sleeve,0.996507,,0.307446,regular,0.696415
17,ebay,women_tops,https://i.ebayimg.com/images/g/EasAAOSwFb5aRi7T/s-l600.jpg,,,,0.440888,,0.500236,,0.420548,long sleeve,0.99905,,0.425386,regular,0.744696
18,ebay,women_tops,https://i.ebayimg.com/images/g/EdkAAOSw6VRaRi7R/s-l600.jpg,,,roll-up sleeves,0.855046,solid,0.658763,solid,0.984334,three-quarter sleeve,0.990428,round neck,0.505725,regular,0.658942
19,ebay,women_tops,https://i.ebayimg.com/images/g/-FoAAOSw-K9ZIqTz/s-l600.jpg,,,,0.415204,solid,0.8539,solid,0.85911,long sleeve,0.961122,,0.247358,regular,0.824732
20,ebay,women_tops,https://i.ebayimg.com/images/g/nWsAAOSwal5YMBXf/s-l600.jpg,,,cuffed sleeves,0.958589,abstract,0.910791,printed,0.98204,long sleeve,0.988904,mandarin collar,0.666642,longline,0.764808
21,ebay,women_tops,https://i.ebayimg.com/images/g/D5IAAOSwY~1aRi7V/s-l600.jpg,,,roll-up sleeves,0.749717,solid,0.266928,solid,0.856,long sleeve,0.999445,,0.248537,regular,0.589837
22,ebay,women_tops,https://i.ebayimg.com/images/g/29EAAOSwjqVZIqTu/s-l600.jpg,,,no sleeves,0.999303,,0.251166,printed,0.977669,no sleeves,0.999969,,0.406147,regular,0.923855
23,ebay,women_tops,https://i.ebayimg.com/images/g/aAkAAOSwPh5ZIqTg/s-l600.jpg,,,cuffed sleeves,0.978529,solid,0.854835,solid,0.998275,long sleeve,0.999719,shirt collar,0.880567,regular,0.649379
24,ebay,women_tops,https://i.ebayimg.com/images/g/~i0AAOSwGzhaRi7S/s-l600.jpg,,,,0.412083,solid,0.476736,solid,0.626097,long sleeve,0.998677,keyhole neck,0.716593,regular,0.842106
25,ebay,women_tops,https://i.ebayimg.com/images/g/tiEAAOSw42dZIqTn/s-l600.jpg,,,cap sleeve,0.983602,floral,0.951351,printed,0.999061,short sleeve,0.999953,,0.246311,regular,0.639104
26,ebay,women_tops,https://i.ebayimg.com/images/g/YI8AAOSwnCFaRi7i/s-l600.jpg,,,roll-up sleeves,0.872324,checked,0.661436,checked,0.91026,long sleeve,0.996662,,0.371746,longline,0.832336
27,ebay,women_tops,https://i.ebayimg.com/images/g/KqkAAOSwsYpaRi7R/s-l600.jpg,,,,0.438407,checked,0.975472,checked,0.998495,long sleeve,0.986541,mandarin collar,0.809061,longline,0.892938
28,ebay,women_tops,https://i.ebayimg.com/images/g/RCMAAOSwzppaRi7U/s-l600.jpg,,,roll-up sleeves,0.960915,solid,0.69423,solid,0.828867,long sleeve,0.991498,,0.423378,regular,0.75298
29,ebay,women_tops,https://i.ebayimg.com/images/g/6~YAAOSwaeRZIqTw/s-l600.jpg,,,cuffed sleeves,0.982835,checked,0.600008,checked,0.999877,long sleeve,0.978026,shirt collar,0.794886,regular,0.709719
30,ebay,women_tops,https://i.ebayimg.com/images/g/5QQAAOSwcXpZnRi1/s-l300.jpg,,,butterfly sleeve,0.565804,solid,0.94409,solid,0.637919,long sleeve,0.814193,,0.251198,regular,0.954733
31,ebay,women_tops,https://i.ebayimg.com/images/g/u2EAAOSwB4NW0c6-/s-l300.jpg,,,no sleeves,0.461814,solid,0.828714,solid,0.532054,no sleeves,0.999112,,0.455783,longline,0.845569
32,ebay,women_tops,https://i.ebayimg.com/images/g/3oEAAOSwux5YU5mI/s-l300.jpg,,,cuffed sleeves,0.669181,geometrical print,0.819342,printed,0.905423,short sleeve,0.5395,,0.337648,regular,0.530109
